geo_name,geo_sumlevel,geo_id,naics_name,naics_sumlevel,naics_id,avg_wage_2014,avg_wage_2015,avg_wage_2016,num_ppl_2014,num_ppl_2015,num_ppl_2016,num_ppl_rca_2014,num_ppl_rca_2015,num_ppl_rca_2016
"Alabama","state",04000US01,"Farming",2,111,35182.4,32934.2,31993,6419,6096,5316,0.544084,0.507127,0.438729
"Alabama","state",04000US01,"Animal production & aquaculture",2,112,41167.5,44961,41905.5,5370,5578,5667,0.937346,0.984836,1.02707
"Alabama","state",04000US01,"Logging",2,1133,33655,33264,34102,4716,4804,4594,4.54556,4.71618,4.55096
"Alabama","state",04000US01,"Forestry except logging",2,113M,62915.9,65842.5,71155.5,455,326,379,0.660308,0.49921,0.595964
"Alabama","state",04000US01,"Fishing, hunting & trapping",2,114,34208.8,37325.2,62898.9,463,351,319,1.08806,0.799388,0.731553
"Alabama","state",04000US01,"Support activities for agriculture & forestry",2,115,43302.1,44467.3,44304.1,2021,2055,2045,1.13303,1.17692,1.16182
"Alabama","state",04000US01,"Oil & gas extraction",2,211,82079.8,90674,98005.2,598,523,608,0.447272,0.349468,0.380167
"Alabama","state",04000US01,"Coal mining",2,2121,72072.7,76484.3,80516.4,4806,4872,4340,3.40403,3.58645,3.4976
"Alabama","state",04000US01,"Metal ore mining",2,2122,54251,49409.8,61730.9,121,142,97,0.172953,0.204526,0.139889
"Alabama","state",04000US01,"Nonmetallic mineral mining & quarrying",2,2123,58553.7,53899.3,58013.1,1938,1809,1719,1.60805,1.47537,1.35513
"Alabama","state",04000US01,"Support activities for mining",2,213,86117.5,91715.4,95497,3048,3255,3278,0.428949,0.438992,0.452475
"Alabama","state",04000US01,"Electric power generation, transmission & distribution",2,2211P,77509.6,79047.7,80775.8,18241,19479,20010,1.99562,2.12523,2.18851
"Alabama","state",04000US01,"Natural gas distribution",2,2212P,61818.4,56979.8,56548.5,2474,2045,2157,1.50186,1.26829,1.35442
"Alabama","state",04000US01,"Sewage treatment facilities",2,22132,42486,43563.9,44888.2,1614,1769,1722,1.03851,1.16865,1.14372
"Alabama","state",04000US01,"Water, steam, air-conditioning, & irrigation systems",2,2213M,46864.3,46608,49603.4,5079,5062,5145,1.52618,1.52691,1.55447
"Alabama","state",04000US01,"Electric & gas, and other combinations",2,221MP,56540,56662.7,58577.7,966,1114,1028,0.705333,0.856762,0.819829
"Alabama","state",04000US01,"Not specified utilities",2,22S,43984,35029.2,30417,601,494,562,1.59777,1.36574,1.6677
"Alabama","state",04000US01,"Construction",2,23,40634.2,41257.1,42678.3,110843,109199,110009,1.04913,1.01573,0.997081
"Alabama","state",04000US01,"Sugar & confectionery products",2,3113,48035.1,100785,108409,94,123,123,0.0826931,0.109472,0.111377
"Alabama","state",04000US01,"Fruit & vegetable preserving & specialty food manufacturing",2,3114,42803,47098.4,47268.6,298,424,407,0.124842,0.173822,0.167156
"Alabama","state",04000US01,"Dairy product manufacturing",2,3115,38421.1,37969.5,40260.6,1028,894,897,0.501711,0.438204,0.433187
"Alabama","state",04000US01,"Animal slaughtering & processing",2,3116,29802.9,29681.4,29759.7,17331,16927,17213,2.7593,2.68423,2.67236
"Alabama","state",04000US01,"Retail bakeries",2,311811,19038.1,22119.7,22217.8,1335,1248,963,0.594358,0.555176,0.432527
"Alabama","state",04000US01,"Bakeries & tortilla manufacturing, except retail bakeries",2,3118Z,38382.4,41248.7,37804.8,1734,1653,1693,0.591048,0.548935,0.556772
"Alabama","state",04000US01,"Animal food, grain & oilseed milling",2,311M1,44400.2,40770.4,44560,1639,1888,1866,0.816262,0.932956,0.89974
"Alabama","state",04000US01,"Seafood & other miscellaneous foods, n.e.c. ",2,311M2,38749.9,41243.4,43882.3,2580,2205,2179,0.934889,0.78436,0.76021
"Alabama","state",04000US01,"Not specified food industries, manufacturing",2,311S,62167.8,58889.3,55684.5,159,246,181,0.297397,0.564996,0.467553
