"Markets","Sunday","Monday","Tuesday","Wednesday","Thursday","Friday","Saturday","Island","Open","Close","Diff"
"Country Market & Craft Fair at Waimanalo Homestead Community Center","X",NA,NA,NA,NA,NA,NA,"Oahu","9:00 AM","4:00 AM","5"
"Halawa District Park (People's Open Market)",NA,NA,NA,NA,NA,"X",NA,"Oahu","7:00 AM","8:00 AM","1"
"Kahaluu Farmers' Market at Windward Baptist Church",NA,NA,NA,NA,NA,"X",NA,"Oahu","3:00 PM","7:00 PM","4"
"Kailua Elementary School",NA,NA,NA,NA,NA,NA,"X","Oahu","4:00 PM","8:00 PM","4"
"Fern Forest Town Market",NA,NA,NA,NA,NA,NA,"X","Hawaii","9:00 AM","1:00 PM","8"
"Hawaiian Homestead Farmers Market at Kuhio Hale Building",NA,NA,NA,NA,NA,NA,"X","Hawaii","7:00 AM","12:00 PM","5"
"Hilo Coffee Mill ""Market @ The Mill""",NA,NA,NA,NA,NA,NA,"X","Hawaii","8:00 AM","1:00 PM","7"
"Hilos Farmers Market",NA,NA,NA,"X",NA,NA,"X","Hawaii","6:00 AM","4:00 PM","2"
"Honokaa Farmers Market at Old Botelho Bldg., Downtown Honokaa",NA,NA,NA,NA,NA,NA,"X","Hawaii","7:30 AM","2:00 PM","5.5"
"Ho'oulu Community Farmers Market at Keauhou Beach Resort Royal Gardens",NA,NA,NA,"X",NA,NA,NA,"Hawaii","12:30 PM","5:30 PM","7"
"Kau Farmers Market",NA,NA,NA,"X",NA,NA,"X","Hawaii","7:00 AM","12:00 PM","5"
"Keaau Village Farmers Market16-0550 Old Volcano RoadPhone: ",NA,NA,"X","X","X","X","X","Hawaii","7:00 AM","5:00 PM","2"
"Keauhou Farmers Market at Keauhou Shopping Center",NA,NA,NA,NA,NA,NA,"X","Hawaii","","",""
"Kekela Farm",NA,NA,"X",NA,"X","X",NA,"Hawaii","2:00 PM","5:00 PM","3"
"Kona Farmers MarketMakapua Center - In front of K-Mart, Kailua-Kona","X",NA,NA,NA,"X","X","X","Hawaii","7:00 AM","5:00 AM","2"
"Laupahoehoe Farmers' MarketLaupahoehoe - next to the Minit Stop on Hwy. 19","X",NA,NA,NA,NA,NA,NA,"Hawaii","9:00 AM","1:00 AM","8"
"Makuu Farmers MarketHighway 130, between Keaau and Pahoa","X",NA,"X","X","X",NA,NA,"Hawaii","6:00 AM","1:30 PM","4.5"
"Mamo Street MarketMamo Parking Lot, Hilo","X","X","X","X","X","X","X","Hawaii","8:00 AM","5:00 PM","3"
"Panaewa Hawaiian Home Lands Farmers MarketCorner of Puainako and Ohuohu., On the sidewalk of Hilo WalMart","X","X","X","X","X","X","X","Hawaii","8:00 AM","5:00 PM","3"
"South Kona Fruit StandNear the old Higashi Store, between mile marker 103 &10484-4770 Mamalahoa Hwy, Captain CookBeth:  Phone: (808) 328-8547","X","X","X","X","X","X","X","Hawaii","9:00 AM","6:00 PM","3"
"The Market PlaceAcross from the Hilo Farmers Market",NA,NA,NA,"X",NA,NA,NA,"Hawaii","7:00 AM","3:00 PM","4"
"Under the Banyans Farmers Market in Hawi",NA,NA,NA,NA,NA,NA,"X","Hawaii","7:30 AM","1:00 PM","6.5"
"Village Farmers Market","X",NA,NA,NA,"X","X","X","Hawaii","8:00 AM","5:00 PM","3"
"Volcano Farmers Market","X",NA,NA,NA,NA,NA,NA,"Hawaii","7:00 AM","9:00 AM","2"
"Waimea Town Market at Parker School",NA,NA,NA,NA,NA,NA,"X","Hawaii","7:00 AM","2:00 PM","5"
