"Year","Station","Full.Fare","SCD","x7.Day.Un","x30.Day.Un"
2010,"30th Ave",890466,37916,300552,1158843
2011,"30th Ave",1505589,64101,532517,1767177
2012,"30th Ave",1612274,71517,585371,1860489
2013,"30th Ave",1585521,75747,670494,1825441
2014,"30th Ave",1479235,75287,727827,1736341
2015,"30th Ave",1449250,69118,486062,1501683
2016,"30th Ave",1345898,78681,782095,1667235
2017,"30th Ave",963811,55998,551091,1151983
2018,"30th Ave",1,0,0,1
2010,"36th Ave",482943,20246,175349,580075
2011,"36th Ave",803992,32928,302434,868897
2012,"36th Ave",879551,36407,340831,910028
2013,"36th Ave",836788,40557,390993,887815
2014,"36th Ave",775341,40755,420337,833014
2015,"36th Ave",762710,36453,278617,711978
2016,"36th Ave",703374,43733,443526,764672
2017,"36th Ave",488564,31670,304271,509444
2018,"36th Ave",0,0,0,1
2010,"39th Ave",217513,8501,103165,124438
2011,"39th Ave",359221,13050,167983,190075
2012,"39th Ave",395730,13693,219232,211233
2013,"39th Ave",377449,15807,271912,223395
2014,"39th Ave",369724,16808,323422,226352
2015,"39th Ave",395520,16226,196443,195106
2016,"39th Ave",326256,18638,310046,206581
2017,"39th Ave",315455,19161,283115,210626
2018,"39th Ave",51598,3654,34359,44818
2010,"Astoria Blvd",764074,26610,246394,914061
2011,"Astoria Blvd",1401650,45461,465542,1506676
2012,"Astoria Blvd",1394460,48387,496381,1471288
2013,"Astoria Blvd",1357805,53026,578999,1429651
2014,"Astoria Blvd",1271567,50634,610072,1340985
2015,"Astoria Blvd",1254850,45775,410414,1181387
2016,"Astoria Blvd",1192901,55667,656099,1314781
2017,"Astoria Blvd",1239405,60103,673101,1309198
2018,"Astoria Blvd",200411,9346,103627,217542
2010,"Broadway",801836,45894,232000,1085279
2011,"Broadway",1378476,73646,421126,1664139
2012,"Broadway",1439113,76158,463738,1726551
2013,"Broadway",1407267,82476,545325,1734140
2014,"Broadway",1326199,83133,606914,1678533
2015,"Broadway",1278633,74063,407043,1416354
2016,"Broadway",1190983,81324,640535,1553645
2017,"Broadway",1193388,83310,618528,1433769
2018,"Broadway",187529,12414,89422,220207
2010,"Ditmars Blvd",1070995,45408,270045,1289861
2011,"Ditmars Blvd",1915097,75754,515031,2075337
2012,"Ditmars Blvd",1932144,82013,549292,2031742
2013,"Ditmars Blvd",1889983,89591,662008,1989650
2014,"Ditmars Blvd",1758871,87733,710934,1904415
2015,"Ditmars Blvd",1713229,78237,493210,1650312
2016,"Ditmars Blvd",1659960,91515,804750,1874151
2017,"Ditmars Blvd",1569734,86576,752710,1641288
2018,"Ditmars Blvd",189117,10177,88266,196061
2010,"Queensboro Plaza",540427,14548,308275,449483
2011,"Queensboro Plaza",1037152,28205,566066,859876
2012,"Queensboro Plaza",1167554,35342,632166,932254
2013,"Queensboro Plaza",1165611,36733,722504,964294
2014,"Queensboro Plaza",1148534,37689,800043,1013446
2015,"Queensboro Plaza",1202590,32142,513730,880025
2016,"Queensboro Plaza",1198553,37065,875657,1122547
2017,"Queensboro Plaza",1309682,42864,930352,1225405
2018,"Queensboro Plaza",150305,4988,95862,148034
