"term","document","count"
"abstract","44",0.00919458180216005
"efforts","11",0.00907581314630638
"competing","134",0.00834805308337585
"spss","89",0.00709605022977547
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
"will","71",0.00526272458517402
"define","64",0.0332194367867413
NA,NA,NA
NA,NA,NA
"multiple","78",0.00551271636774409
"translate","121",0.0077458941651713
NA,NA,NA
NA,NA,NA
"helps","124",0.0195200432478743
"thing","48",0.0137918727032401
"relevant","28",0.0077339329253976
"staff","85",0.0113084263382304
"sassocial","110",0.0339043735832885
"assigned","19",0.0337627296934286
"community","42",0.0337333827013029
"software","146",0.0337163008445821
"artificial","101",0.0334825542082066
"inc","22",0.0334422400060866
"candidates","71",0.0333856158693307
"missions","110",0.0333530406291605
"york","43",0.0332555425800231
"avalere","74",0.0275837454064802
NA,NA,NA
"fruition“i","45",0.0137918727032401
"communication","85",0.00253795662204933
"shopping","30",0.0137918727032401
"tools","124",0.00525995867826707
NA,NA,NA
NA,NA,NA
"working","127",0.000949614894830902
"nationally","100",0.0196932508997183
"assist","139",0.0196544914873564
"analysishigh","144",0.0280558323229654
"safety","131",0.0335685592217233
"includes","57",0.0149242300265672
NA,NA,NA
"treat","42",0.0324916913506514
"offerslilj1","63",0.0137918727032401
NA,NA,NA
NA,NA,NA
"frameworksexperience","52",0.0276274990050576
"offer","115",0.0112836402067076
"communication","127",0.00122391722552436
"online","10",0.0336961963290302
"scripts","131",0.0335685592217233
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
"proficient","146",0.0335685592217233
"candidates","73",0.0333856158693307
"collection","51",0.0333438804766569
"job","87",0.0224483048329061
"creativity","77",0.0224356952773037
"dod","4",0.0223591553269568
"manipulating","129",0.0223476211110805
"limited","49",0.0222770868207556
"secret","24",0.0222708030004322
"lab","56",0.0221966302513775
"devops","26",0.0221962828191319
"scalable","26",0.0221962828191319
"closely","89",0.0149317748802081
"ensembles","45",0.0137918727032401
NA,NA,NA
NA,NA,NA
NA,NA,NA
"bloomberg","43",0.0332555425800231
"python","61",0.00658124402579065
"services","104",0.00510257995350395
NA,NA,NA
"microsoft","112",0.0339039978156897
"willing","43",0.0222292536511046
"analysis","140",0.0149090276043404
NA,NA,NA
NA,NA,NA
"responsibility","101",0.022266581996319
"toward","56",0.0221966302513775
"years","23",0.0221628493130891
"streams","133",0.0152387468196317
"policy","81",0.00543071935635303
"need","140",0.0111804626483876
NA,NA,NA
NA,NA,NA
"guidance","130",0.00746510043648214
"color","27",0.0114904713354961
"wide","89",0.00513168302282266
NA,NA,NA
NA,NA,NA
"substituted","82",0.0206811563980717
"effective","64",0.0148243960808556
NA,NA,NA
"great","141",0.00461456248270344
"changeabout","119",0.0137918727032401
"clearance","142",0.0120221496259905
"proficient","131",0.0335685592217233
"makers","109",0.0224803972879417
"across","22",0.0224598674441061
"online","77",0.0224356952773037
"successfully","77",0.0224356952773037
"motivated","4",0.0223591553269568
"experience","90",0.00254109592298713
NA,NA,NA
NA,NA,NA
NA,NA,NA
"todays","38",0.0211649261383774
"tackle","63",0.0137918727032401
NA,NA,NA
NA,NA,NA
"respect","120",0.0156155914078008
"rapidly","18",0.0070889459034452
"maintenance","90",0.0137665873707296
"functional","26",0.011098141409566
"rewarding","30",0.0137918727032401
"profiles","48",0.0137918727032401
"tackle","48",0.0137918727032401
NA,NA,NA
NA,NA,NA
"scripts","146",0.0335685592217233
NA,NA,NA
NA,NA,NA
"theories","19",0.0337627296934286
"research","13",0.0222392415265679
"turn","56",0.0221966302513775
"architecture","134",0.00523343527512102
"etchighly","52",0.0276274990050576
NA,NA,NA
"customers","114",0.0184276600426704
"largescale","55",0.033881095678223
"services","114",0.00672166782336578
"problems","58",0.00450151506990801
"continue","11",0.0112171407694327
"analysis","124",0.0149090276043404
"analytical","119",0.00522280955207108
NA,NA,NA
"technical","110",0.00538302840152986
"mapreduce","130",0.00535133329254627
"solving","89",0.00457628402605108
"reasoning","59",0.00888915386521636
"competencies","108",0.00888915386521636
"read","67",0.0190195266442838
"allow","127",0.00533040348064596
"nation’s","6",0.0107684614068646
"receive","148",0.0090520245595713
"failures","56",0.0306712065225639
"generated","88",0.0141196893243264
NA,NA,NA
"identify","104",0.00457628402605108
NA,NA,NA
"datalead","9",0.0209202449113442
NA,NA,NA
NA,NA,NA
"come","78",0.0118189953989966
"results","80",0.0117091805020301
NA,NA,NA
NA,NA,NA
"staffcontribute","11",0.0154997960156854
"longterm","95",0.0224803972879417
"safety","146",0.0335685592217233
"visualization","141",0.00461456248270344
"software","20",0.0221420483158449
"clearanceba","58",0.0208701384036856
"job","96",0.0224483048329061
"gathering","80",0.0157693013096231
"product","59",0.0157003058253631
"technologies","145",0.0124715838783132
"now","141",0.0123978979308395
"chevy","63",0.0275837454064802
NA,NA,NA
"business","58",0.00715979869673669
"research","5",0.00451698584373814
"hadoop","29",0.00449169663393265
"range","134",0.00449169663393265
"tableau","117",0.0111397721339853
"metholdogical","130",0.0114466142005965
"principlesexhibit","44",0.00919458180216005
