"term","document","count"
"summary","54",2.66096404744368
"amd","102",1.77397603162912
"amd","104",1.77397603162912
"amd","119",1.77397603162912
"everything","102",1.63563019853617
"everything","104",1.63563019853617
"everything","119",1.63563019853617
"changes","102",1.36651189118364
"changes","104",1.36651189118364
"changes","119",1.36651189118364
"role","69",1.32192809488736
"job","54",0.848718614989784
"reinforcement","42",0.760275442126766
"architect","42",0.654994642960165
"–","42",0.428571428571429
"trading","40",0.31563537533786
"engineer","42",0.315207268209632
"zilliant’s","16",0.311121198000384
"usaco","32",0.259008397335319
"learning","42",0.216326707458239
"physician","71",0.214499707938153
"buildings","47",0.180808654335302
"vista’s","44",0.175301791766714
"students","32",0.170926463557873
"fastmoving","116",0.16062536268857
"robots","116",0.16062536268857
"emerson","29",0.152038472230376
"conception","7",0.150149795556707
"deploymentlow","7",0.150149795556707
"gesture","7",0.150149795556707
"interests","7",0.150149795556707
"lowerpower","7",0.150149795556707
"personalization","7",0.150149795556707
"suiting","7",0.150149795556707
"whose","7",0.150149795556707
"opcity","8",0.150149795556707
"device","111",0.140956950930786
"lifting","48",0.138659403652782
"lifting","52",0.138659403652782
"exl","101",0.132824819146318
"pricing","114",0.130229686520284
"bright","32",0.12950419866766
"optimized","7",0.128410665121924
"machine","42",0.126360397511438
"technologiesfamiliarity","19",0.121173519221202
"exponent","70",0.120469022016428
"activity","7",0.11569408901929
"carry","7",0.11569408901929
"bayesian","19",0.114781066563942
"lbs","48",0.112435100596212
"lbs","52",0.112435100596212
"analytics","22",0.109219424340422
"instance","47",0.108485192601181
"cognitive","12",0.108336753470767
"cognitive","24",0.108336753470767
"cognitive","26",0.108336753470767
"cognitive","39",0.108336753470767
"cognitive","51",0.108336753470767
"cognitive","62",0.108336753470767
"cognitive","67",0.108336753470767
"cognitive","74",0.108336753470767
"cognitive","95",0.108336753470767
"cognitive","98",0.108336753470767
"cognitive","109",0.108336753470767
"test","118",0.10669483744693
"improved","7",0.106671534687142
"power","7",0.106671534687142
"compiler","118",0.106587817833465
"saas","114",0.106438561897747
"diagnostic","72",0.102907501665654
"architectures","99",0.101260981639003
"merck","78",0.101199862206718
"iot","111",0.100140624400174
"tma","71",0.100099863704471
"push","7",0.0996730978417643
"investment","44",0.0996322963575334
"architecture","99",0.0987869278831397
"plusfamiliarity","64",0.0986698656515503
"zynga’s","59",0.0982022359565192
"traveler","58",0.0965998684700492
"exposure","16",0.0958905963042768
"vision","99",0.0949122312824961
"advert","65",0.0939713006205241
"fraser","65",0.0939713006205241
"nokia","111",0.0939713006205241
"recognition","7",0.0939549585845079
"things","111",0.0935706632800236
"linear","19",0.0933671595594274
"automobile","55",0.0916843884372812
"mindtronic","55",0.0916843884372812
