"term","document","count"
"ibec009323about","55",2.40960623016529
"transportation","55",2.40960623016529
"distributionbec008907about","81",2.40960623016529
"pipelinebec009015about","115",1.80720467262397
"technician","81",1.74293956349863
"shiftbec009091about","98",1.55720467262397
"shiftbec009091about","111",1.55720467262397
"second","98",1.41096404744368
"second","111",1.41096404744368
"technician","115",1.30720467262397
"distribution","98",1.16096404744368
"distribution","111",1.16096404744368
"distribution","115",1.16096404744368
"associate","81",1.14048792281276
"supervisor","98",1.10536594210957
"supervisor","111",1.10536594210957
"analyst","55",0.993630392350765
"associate","115",0.855365942109569
"scientists","7",0.592212285568714
"water","53",0.241448393145443
"food","72",0.230912498616871
"flavor","97",0.225900584077996
"biological","42",0.214818055666166
"water","95",0.20236934545009
"safety","102",0.195036023597501
"safety","114",0.195036023597501
"credit","12",0.191894883874989
"payroll","96",0.191745853859307
"79866","3",0.183872540090663
"casualty","3",0.183872540090663
"79866","28",0.183872540090663
"casualty","28",0.183872540090663
"79866","43",0.183872540090663
"casualty","43",0.183872540090663
"79866","58",0.183872540090663
"casualty","58",0.183872540090663
"79866","73",0.183872540090663
"casualty","73",0.183872540090663
"79866","78",0.183872540090663
"casualty","78",0.183872540090663
"79866","88",0.183872540090663
"casualty","88",0.183872540090663
"79866","103",0.183872540090663
"casualty","103",0.183872540090663
"79866","107",0.183872540090663
"casualty","107",0.183872540090663
"79866","122",0.183872540090663
"casualty","122",0.183872540090663
"79866","148",0.183872540090663
"casualty","148",0.183872540090663
"beverage","97",0.175700454282886
"property","3",0.172116047431941
"property","28",0.172116047431941
"property","43",0.172116047431941
"property","58",0.172116047431941
"property","73",0.172116047431941
"property","78",0.172116047431941
"property","88",0.172116047431941
"property","103",0.172116047431941
"property","107",0.172116047431941
"property","122",0.172116047431941
"property","148",0.172116047431941
"actuary","2",0.162085786726693
"actuary","17",0.162085786726693
"actuary","32",0.162085786726693
"actuary","59",0.162085786726693
"actuary","74",0.162085786726693
"actuary","89",0.162085786726693
"actuary","104",0.162085786726693
"actuary","119",0.162085786726693
"actuary","123",0.162085786726693
"actuary","149",0.162085786726693
"site","66",0.161726334967279
"coop","53",0.154627137764618
"air","132",0.151922407085265
