"term","document","count"
"duties","7",2.84608731654632
"title","35",2.32672111930196
"clearance","21",1.1421042144691
"level","21",0.940426367353498
"expereince","54",0.904800592415635
"poly","70",0.89120067704644
"position","35",0.768982510591993
"depending","16",0.539853302955397
"depending","17",0.539853302955397
"depending","32",0.539853302955397
"depending","47",0.539853302955397
"depending","62",0.539853302955397
"depending","92",0.539853302955397
"depending","107",0.539853302955397
"depending","136",0.539853302955397
"depending","137",0.539853302955397
"higher","16",0.505423574454855
"possible","16",0.505423574454855
"higher","17",0.505423574454855
"possible","17",0.505423574454855
"higher","32",0.505423574454855
"possible","32",0.505423574454855
"higher","47",0.505423574454855
"possible","47",0.505423574454855
"higher","62",0.505423574454855
"possible","62",0.505423574454855
"higher","92",0.505423574454855
"possible","92",0.505423574454855
"higher","107",0.505423574454855
"possible","107",0.505423574454855
"higher","136",0.505423574454855
"possible","136",0.505423574454855
"higher","137",0.505423574454855
"possible","137",0.505423574454855
"citizenship","70",0.490149973895354
"9188209satheeshaturbanesystemsdotcomjob","54",0.452400296207817
"huge","54",0.452400296207817
"mandatorythankssatheesh571","54",0.452400296207817
"plusskills","54",0.452400296207817
"sparkhadoopcassandrapython","54",0.452400296207817
"current","70",0.45013455686782
"starting","16",0.396996160098255
"starting","17",0.396996160098255
"starting","32",0.396996160098255
"starting","47",0.396996160098255
"starting","62",0.396996160098255
"starting","92",0.396996160098255
"starting","107",0.396996160098255
"starting","136",0.396996160098255
"starting","137",0.396996160098255
"tssci","70",0.387834683324009
"required","70",0.362566431597712
"clearance","70",0.326315489848315
"salary","16",0.319772105617868
"salary","17",0.319772105617868
"salary","32",0.319772105617868
"salary","47",0.319772105617868
"salary","62",0.319772105617868
"salary","92",0.319772105617868
"salary","107",0.319772105617868
"salary","136",0.319772105617868
"salary","137",0.319772105617868
"contract","54",0.307279790277357
"earth","115",0.2774301468034
"threat","22",0.276035607934738
"sales","139",0.271234988666308
"level","16",0.268693247815285
"level","17",0.268693247815285
"level","32",0.268693247815285
"level","47",0.268693247815285
"level","62",0.268693247815285
"level","92",0.268693247815285
"level","107",0.268693247815285
"level","136",0.268693247815285
"level","137",0.268693247815285
"position","70",0.219709288740569
"insider","22",0.217543214355651
"fwg","14",0.215117404804313
"fwg","19",0.215117404804313
