,summary
1,"ASSIGNMENT DESCRIPTION: Data Scientists develop and apply methods to identify, collect, process, and analyze large volumes of data to build and enhance products, processes, and systems. They conduct data mining and retrieval, and apply statistical and mathematical analyses to identify trends, solve analytical problems, optimize performance, and gather intelligence. They visualize information using a range of tools (e.g., GIS, R), develop scripts and algorithms, create explanatory and predictive models, and conduct comparative analyses to address complex problems.Pay, Benefits, & Work SchedulePERMANENT CHANGE IN STATION:PCS expenses are not authorized.Additional Position InfoADDITIONAL INFORMATION:NGA is seeking data professionals, academics, and researchers to join its Explorer Program. The Explorer Program is a key aspect of the Agency's data-enabled workforce initiative, which focuses on empowering NGA employees with the knowledge, skills, and tools to solve contemporary and future data-related challenges in the intelligence community. Data Scientists in the Explorer Program are responsible for leading the development and implementation of solutions to these challenges.Data Scientists in the Explorer Program will be proven innovation leaders, coalition builders, problem solvers, and effective communicators. They will possess the ability to think and act strategically, operate in a dynamic and sometimes ambiguous environment, and rapidly deliver impactful results. They will leverage their strong interpersonal skills to effectively communicate with individuals inside and outside the Agency. They have experience working on geographically distributed teams.As a Data Scientist in the Explorer Program you would work with office and directorate level data professionals on projects that solve their data-related problems. These projects are prioritized to achieve the Agency's mission, and your solutions will scale throughout the Agency. You would report to the Chief Data Scientist, who leads the Explorer Program.Specific duties will include, but are not limited to, the following:- Working as a part of a team of geographically distributed data professionals, including data engineers, data analysts, data stewards, and fellow data scientists.- Creating, selecting, and applying methods to collect, process, and analyze large volumes of data.- Designing, building, and delivering solutions to the Agency's complex data challenges.- Communicating with project stakeholders regarding your efforts and how they achieve the Agency's mission.- Serving as a liaison to the academic, industry, and research communities, such as through presenting and publishing your work at conferences and in top-tier publications, respectively.This is a Term Appointment within NGA Not To Exceed 5 years. This position may be noncompetitively converted into a permanent full time position at the same or lower pay band and work role for which initially hired. The Term employee must have completed at least 5 years of continuous service with at least a ""successful"" overall rating to be eligible for conversion.Mandatory Qualification ReqsMANDATORY QUALIFICATION CRITERIA:For this particular job, applicants must meet all competencies reflected under the Mandatory Qualification Criteria to include education (if required). Online applications must demonstrate qualification by providing specific examples and associated results, in response to the announcement's mandatory criteria specified in this vacancy announcement:1.) Proficiency in at least one of the following languages: Python, R, Java, or a similar language, as applied to programming access and manipulation of data;2.) Managed and delivered solutions to problems (e.g. cleaning, filtering, and transforming data, as well as enriching data, especially by way of database joins or table lookups);3.) Designed and delivered enterprise-scale solutions that enable access to data;4.) Has used analytic techniques such as classification, regression, similarity matching, clustering, co-occurrence grouping, profiling, link prediction, data reduction, and causal modelling, as well as experience developing and deploying automated processes;5.) Demonstrated expertise with visualization techniques and software tools, such as Tableau and matplotlib;6.) Proven ability to communicate ongoing work and findings to leadership and others through written, visual, and spoken reports and briefings.Although not required, it is the recommendation of the hiring office that applicants explicitly address in their cover letter how they meet each of the mandatory qualifications listed.EDUCATION REQUIREMENT:A. Education: Bachelor's degree in Applied Mathematics, Computer Science, Data Science, Geographic Information Science, Informatics and Computing, Information Science, Operations Research, Statistics, or a related discipline. -OR-B. Combination of Education and Experience: A minimum of 30 semester (45 quarter) hours of coursework in any area listed in option A plus experience that demonstrates the ability to successfully perform the duties associated with this work. As a rule, every 30 semester (45 quarter) hours of college work is equivalent to one year of experience. Candidates should show that their combination of education and experience totals 4 years. -OR-C. Experience: Six years of experience in working with large or complex data sets, including performing data mining, running complex queries, or performing tasks in related areas of work.Highly Desired SkillsDESIRABLE QUALIFICATION CRITERIA:In addition to the mandatory qualifications, experience in the following is desired:1.) Proven innovator and strategic problem solver;2.) Ability to create and thrive in emerging and ambiguous environments;3.) Be an effective collaborator in high performance, geographically distributed team environments;4.) Evidence of impactful contributions to broader academic, industry, and research communities, such as code, presentations, and publications;5.) Proven experience in machine learning and/or artificial intelligence;6.) Extensive experience with Machine Learning and/or Artificial Intelligence (AI).How To Apply - ExternalApplication submission involves applying using the Intelligence Community's Applicant Gateway on-line application process.How Will I Be Evaluated?APPLICANT EVALUATION PROCESS:Applicants will be evaluated for this job opportunity in three stages:1) All applicants will be evaluated using the Mandatory Qualification Criteria,2) Qualified applicants will then be evaluated by an expert or panel of experts using a combination of qualification criteria to determine the best-qualified candidates,3) Best-qualified applicants may then be further evaluated through an interview process.ONLY ELECTRONIC SUBMISSIONS WILL BE ACCEPTED.Applicants are not required to submit a cover letter. The entire cover letter cannot exceed the specified limits provided in the Cover Letter field (3,000 characters). Pages exceeding this limit will not be considered. The cover letter is recommended but is not required for employment consideration with the National Geospatial-Intelligence Agency. Applicants should place their narrative information in the Cover Letter / Other Professional Details field.Applicants are encouraged to carefully review the Assignment Description, Additional Information Provided By the Selecting Official, and the Qualification Requirements; and then construct their resumes to highlight their most relevant and significant experience and education for this job opportunity. This description should include examples that detail the level and complexity of the performed work. Applicants are encouraged to provide any education information referenced in the announcement. If education is listed as a mandatory requirement, only degrees obtained from an institution accredited by an accrediting organization recognized by the Secretary, US Department of Education will be accepted.In accordance with section 9902(h) of title 5, United States Code, annuitants reemployed in the Department of Defense shall receive full annuity and salary upon appointment. They shall not be eligible for retirement contributions, participation in the Thrift Savings Plan, or a supplemental or re-determined annuity for the reemployment period. Discontinued service retirement annuitants (i.e., retired under section 8336(d)(1) or 8414(b)(1)(A) of title 5, United States Code) appointed to the Department of Defense may elect to be subject to retirement provisions of the new appointment as appropriate. (See DoD Instruction 1400.25, Volume 300, at http://www.dtic.mil/whs/directives.)All candidates will be considered without regard to race, color, religion, sex, national origin, age, marital status, disability, or sexual orientation.NGA provides reasonable accommodations to applicants with disabilities. Applications will only be accepted online. The decision on granting reasonable accommodation will be on a case-by-case basis.DCIPS DisclaimerNGA utilizes all processes and procedures of the Defense Civilian Intelligence Personnel System (DCIPS). Non-executive NGA employees are assigned to five distinct pay bands based on the type and scope of work performed. The employee's base salary is established within their assigned pay band based on their unique qualifications. A performance pay process is conducted each year to determine a potential base pay salary increase and/or bonus. An employee's annual performance evaluation is a key factor in the performance pay process. Employees on term or temporary appointments are not eligible to apply for internal assignment opportunity notices.This position is a DCIPS position in the Excepted Service under 10 U.S.C. 1601. DoD Components with DCIPS positions apply Veterans' Preference to preference eligible candidates as defined by Section 2108 of Title 5 USC, in accordance with the procedures provided in DoD Instruction 1400.25, Volume 2005, DCIPS Employment and Placement. If you are an external applicant claiming veterans' preference, as defined by Section 2108 of Title 5 U.S.C., you must self-identify your eligibility in your application.This position is funded by the National Intelligence Program (NIP).Additional Job RequirementsYou must be able to obtain and retain a Top Secret security clearance with access to Sensitive Compartmented Information. In addition, you are subject to a Counterintelligence Polygraph examination in order to maintain access to Top Secret information. All employees are subject to a periodic examination on a random basis in order to determine continued eligibility. Refusal to take the examination may result in denial of access to Top Secret information, SAP, and/or unescorted access to SCIFs.Employees with SCI access and who are under NGA cognizance are required to submit a Security Financial Disclosure Report, SF-714, on an annual basis in order to determine continued eligibility. Failure to comply may negatively impact continued access to Top Secret information, Information Systems, SAP, and/or unescorted access to SCIFs.As a condition of employment at NGA, persons being considered for employment must meet NGA fitness for employment standards.- U.S. Citizenship Required- Security Clearance (Top Secret/Sensitive Compartmented Information)- Polygraph Test Required- Position Subject to Drug Testing- Two Year Probationary Period- Direct Deposit RequiredPay is only part of the compensation you will earn working for the Federal Government. We offer a broad array of benefits programs and family friendly flexibilities to meet the needs of you and your family. For more information on the array of benefits programs, please visit https://www.intelligencecareers.gov/nga/ngabenefits.htmJob Type: Full-time"
2,"Are you passionate about solving challenging problems?
Do you thrive being a critical part of an elite team of like-minded people?
How would you like for your next career move to take you to the next level?
If any of this sounds appealing, look no further.
In this role you will:
Design, build, and maintain streaming data/ETL pipeline using languages like Python or Java.
Maintain, enhance, and optimize the data pipeline for scalability and reliability
Utilize open source and COTS Artificial Intelligence/Machine Learning capabilities
Work with data-coders, modelers, and front-end developers to ensure coordination and collaboration
Be a Versatile back-end developer with experience extracting, transforming and loading (ETL) structured and unstructured data
Basic Qualifications:
2+ years of experience in data processing back-end development roles
Conceptual understanding of – and/or prior experiences related to – relational databases & query languages
Strong coding skills in at least one language: Python or Java
Experience with various data formats such as XML and JSON
Excellent oral and written communication skills and an ability to translate complicated technical issues for a non-technical audience
Desired Skills:
Experience in data modeling, including conceptual, logical, physical, warehouse, and data mart models.
Conceptual understanding of NoSQL technologies including Hadoop, the map-reduce algorithm, HDFS, Hive, Pig, Accumulo, Apache ElasticSearch and data flow automation techniques such as Apache Camel or Nifi.
Experience participating in Agile/SCRUM projects
Experience with R, Spark, and Tensorflow
Experience with statistical modeling and elastic search indexing
Security Clearance:
Candidates must possess a TS/SCI level security clearance
So what does Novetta do?
We focus on three core areas: Cyber, Entity, and Multi-Int Analytics. Our products are focused on processing and analyzing vast amounts of data in these core areas. Our services are focused on helping our customers move from complexity to clarity. At Novetta, we bridge the gap between what our customers think they can do and what they aspire to achieve.
Our culture is shaped by a commitment to our Core Values:
Integrity: We hold ourselves accountable to the highest standards of integrity and ethics.
Customer Mission Success: Customer mission success drives our daily efforts—we strive always to exceed customer expectations and focus on mission success beyond contractual commitments.
Employee Focus: We value our employees and demonstrate our commitment to them by providing clear communications, outstanding benefits, career development, and opportunities to work on problems and technical challenges of national significance.
Innovation: We believe that innovation is critical to our success – that discovering new and more effective ways to achieve customer mission success is what makes us a great company.
Get a referral bonus for the great people you know! With our amazing referral program, you could be eligible to win outstanding rewards for referring qualified new hires to Novetta.

Novetta is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected veteran status, age, or any other characteristic protected by law."
3,"Job SummaryOpportunity BackgroundReady to demonstrate your marketing analytics and data sciences prowess? Two great opportunities to stretch your skills and experience to their fullest potential. One is for a full-time contract position and the other is a contract-to-hire role. Both positions are for a top brand, fortune 500 company in Silicon Valley. You’ll have access to large B2B and B2C data sets on a robust analytic platform. Customer and account data is enriched with demographics and firmagraphics, transactional purchase history, Web behavior and cross-channel marketing campaign history. Tools and analytic environment include SAS, Tableau, and well-managed MPP RDBMS, Hadoop & Hive. This position has a reasonable work-load, providing a decent work-life balance and won’t burn you to a crisp like other Valley gigs.Skills & ExperienceYou should have 3-5 years background in developing predictive modeling algorithms using Python/R, along with other tools in the Apache Big Data stack. You should be well-versed in machine learning algorithms – which is best for achieving business/analytic objectives: Bayesian, Regression, Decision Tree, Clustering & Neural Networks. You should be familiar with common marketing models: cross-sell, campaign response, churn, lifetime value. Finally, you’ll need to have experience in deploying these models into a marketing environment.Education & Eligibility: Bachelor of Science in Computer Science, Statistics or relevant degreeMS Degree preferredMust be eligible to work in the U.S.Must be able to work onsite at least 80%Compensation & Benefits: Competitive hourly rate or salary provided based on experienceThe full-time role will have full benefits package (healthcare, 401k, 10 days PTO)Contract position also gets 1.2 PTO days per monthJob Type: ContractSalary: $12,000.00 to $15,000.00 /monthRequired experience:Predictive Modeling: 3 yearsRequired education:Master'sJob Location:Palo Alto, CA 94304"
4,"Statistical Modeling Analyst
Salary: $60,000 - $70,000 / year
We know you know GEICO. But you should get to know us for great careers, too. And, right now, we’re looking for a Statistical Modeling Analyst to start a GEICO career in Chevy Chase, MD. This is your opportunity to apply new modeling techniques, devise new metrics, and tackle complex questions that we have never tried to answer before.
At GEICO, it’s not just a job, it’s growth and opportunity.
There's one thing our associates all have in common: they found a career they never expected. With coaching and mentoring, you will find your position as a Statistical Modeling Analyst can become a career in the most unexpected and rewarding ways.
Our GEICO Statistical Modeling Analysts earn a starting annual salary between $60,000 - $70,000 / year
Solve challenging problems using large datasets and see the impact of your work come to fruition
“I like problem solving and brainstorming innovative solutions. There are so many opportunities to analyze data sets and make recommendations for improving GEICO's efficiency and effectiveness” Jeff W., GEICO Associate since 2015
Get ready to join a company you can believe in and work alongside a team of associates who care.Leading the analysis and recommendations to help design innovative product and business solutions, you will:
Apply data-mining, statistical and advanced modeling techniques
Identify customer risk profiles, model shopping behavior, identify potential underwriting fraud and evaluate new data sources
Integrate predictive models into analytical tools for non-technical end users
Make recommendations to senior management and collaborate on multiple projects with IT, product specialists and actuaries
We are looking for people with results they are proud of, such as:
Bachelor's degree with a minimum 3.0 undergraduate GPA; graduate degrees are encouraged
Demonstrated ability in mathematical, statistical, financial or economic analyses on large, complex datasets
Familiarity with multivariate classification and regression techniques; experience with GLMs, tree-based ensembles, and/or neural networks a plus
Programming skills, such as R, Python, SQL, SAS, Stata or similar, and demonstrated ability to learn new tools
Excellent interpersonal and communication skills
Advanced quantitative and qualitative problem solving skills
Ability to focus on details and work under deadlines
About benefits:
As a full-time GEICO associate, you’ll be offered a comprehensive Total Rewards Program with a wide range of benefits. We said it’s more than a job! Our benefits ensure a long-lasting career with us as your personal life and needs change.
About our location:
This position is based in Chevy Chase, MA. Get to know a little more about our location here and find out what makes working here pleasantly unexpected for our associates.
GEICO is an equal opportunity employer. GEICO conducts drug screens and background checks on applicants who accept employment offers.
#LI-LJ1"
5,"Data ScientistFull-time/Direct-HireAtlanta, GA 30339Background: We are a values-driven organization, and global leader in modular-carpeting solutions and are in search of a Data-Scientist to work with a stellar group of environmentally-minded individuals, who have a passion for their work. We are not only a believer in bringing in some of the top minds in the industry, but also a strong proponent of internal career development/succession planning. As a result, you’ll have the opportunity to challenge yourself while having the opportunity to grow within the companyScope: The Data Scientist will analyze business level data to produce actionable insights utilizing analytics tools and languages such as R, Python and/or C++, etc. The Data Scientist will serve as this organization’s though-leader, helping to grow their data science initiative from a green state. He / She will also be responsible for advancement of analytical projects from inception to delivery and beyond.Leverage Big Data to discover patterns and solve strategic and tactical business problems using massive structured and unstructured data sets across multiple environments.Develop analytic capabilities (e.g. models and processes) that drive better outcomes for both customers and the company.Drive the collection, cleansing, processing and analysis of new and existing data sources.Research industry topics impacting opportunities relevant for data analysis projects.Executes complex analyses to aid in reporting and interpretation of analytical findings to build a comprehensive solution.Demonstrates good judgment and analytical skills to conduct option analysis and present recommendationsSupport and resolve issues related to analyses or deliverables in productionWorks with internal and external clients to understand, clarify, and analyze requirements to understand the business, and potential, impactful solutionsMapping of processes to understand opportunities for advanced analytics and product enhancementRequirements: BA or BS degree in business analysis, computer science, economics, data science or Masters’ preferred.5+ years of overall analytics experiencePredictive AnalyticsStatistical modelingMachine Learning is a plusExpert level understanding of analytics tools and languages (i.e. R, Python, or C++, etc.)Experience in business analysis, requirements definitionProven and recent experience working with Sales, Marketing, Supply Chain, and/or Manufacturing DataAbility to navigate and access structured and unstructured data environments (ie. Hadoop, Oracle, SQL, etc.)Experience utilizing internal and external data sources to identify otherwise hidden industry trends to impact product development.Exposure to visualization tools such as Tableau / QliksenseMust be solutions-oriented and focused on innovationAdditional Skills / Knowledge: Familiarity with a scripting language: e.g. Perl, Python or a programming language: e.g. Java.Self-motivated, highly organized with the ability to multitask and prioritize workload.Natural curiosity and passion for problem solvingConsultative communication skillset; comfortable with working with senior management level personnel both inside and outside the organizationJob Type: Full-timeSalary: $80,000.00 to $90,000.00 /yearRequired experience:analytics: 5 yearsR, Python, or C++ (analytics tools and languages): 3 years"
6,"Description Job Description This role requires 50%-75% travel This role will require you to drive new product innovation by designing and developing innovative, data-driven exploratory analysis as well as predictive and decision models to solve business problems in multiple industries including financial services and telecommunications. Candidate is required to play leadership role in developing new algorithms and/or modifying exiting algorithms to solve complicated business problems. In addition, candidate is required to experiment with different types of algorithms and models, analyzing performance, to identify the best algorithms to employ. Key Responsibilities • Leading simultaneously multiple complicated projects.


Collecting business requirements and mapping complicated business problem into a modeling task. • Driving innovation in modeling technology and process • Functioning as the mentor to junior analytic resources on the team • Plan effectively to set priorities and manage projects, identify roadblocks and work to get them removed, and understand the importance of meeting client/internal deadlines. • Reviewing project variances against deliverables and possible changes; implement changes at project level as needed; negotiate necessary changes without committing to the impossible, and engage in direct dialogue with client to achieve agreement on project outcomes. • Delivering superior customer service to internal and external clients.
Communicating directly with clients as needed. • Participating in pre-sales support and/or provide post-implementation support. • Delivering formal presentations of work to clients. Knowledge, Experience & Qualifications Job Requirements and Qualifications • Minimum 10 years experience with an analytic solutions or consulting company, bank or financial institution for candidates with Master’s degree or Doctoral degree • Expertise in a wide variety of industry and business areas, including credit risk management processes, organization and risk policies.

Specific experience in credit loss forecasting would be advantageous • Proven track record in driving new product development from concept to final delivery • Strong capability of developing new algorithms and/or modifying existing algorithms to solve challenging business problems with significant business impact. • Demonstrated ability to manage multiple simultaneous projects of significant complexity; adjust to changes in priorities easily, moving from one type of task to another effectively at short notice. • Experience analyzing large data set in order to draw conclusions about data integrity, accuracy, and general relationships. • Proven ability to anticipate, investigate and analyze database and data processing problems to pinpoint cause of problems and recommend possible solutions.


Must be able to work under tight deadlines and changing priorities. • Must exhibit effective communication skills at all levels of the organization (internally and externally). • Verified ability to work both collaboratively and independently • Strong knowledge of MS Office, SAS, R, SQL or other similar languages preferred Experian is the leading global information services company, providing data & analytical tools around the world. Operating at the center of Big Data since before the phrase was coined, few companies can offer information services on the same scale.

We’ve been named one of the “World’s Most Innovative Companies” by Forbes for 4 years in a row. We support clients in over 80 countries and employ 16,000 people in 37 countries. Experian is an Equal Opportunity Employer. Anyone needing accommodation to complete the interview process should notify the talent acquisition partner.

The word ""Experian"" is a registered trademark in the EU and other countries and is owned by Experian Ltd. and/or its associated companies. Experian is the leading global information services company, providing data & analytical tools around the world. Operating at the center of Big Data since before the phrase was coined, few companies can offer information services on the same scale.

We’ve been named one of the “World’s Most Innovative Companies” by Forbes for 4 years in a row. We support clients in over 80 countries and employ 16,000 people in 37 countries. Experian is an Equal Opportunity Employer. Anyone needing accommodation to complete the interview process should notify the talent acquisition partner.

The word ""Experian"" is a registered trademark in the EU and other countries and is owned by Experian Ltd. and/or its associated companies."
7,"Works with IT teams to support data collection, integration, and retention requirements based on business needIdentifies critical and emerging technologies that will support and extend quantitative analytic capabilitiesManages work efforts which require the use of sophisticated project planning techniquesApplies a wide application of complex principles, theories and concepts in a specific field to provide solutions to a wide range of difficult problemsDevelops and maintains an effective network of both scientific and business contacts/knowledge obtaining relevant information and intelligence around the market and emergent opportunitiesCollaborates with business subject matter experts to select relevant sources of informationDevelop breadth of knowledge in programming (R, Python), Descriptive, Inferential, and Experimental Design statistics, advanced mathematics, and database functionality (SQL, Hadoop)Develop expertise with multiple machine learning algorithms and data science techniques, such as exploratory data analysis, generative and discriminative predictive modeling, graph theory, recommender systems, text analytics, computer vision, deep learning, optimization and validationAssists on projects/requests and may lead specific tasks within the project scopePrepares and manipulates data for use in development of statistical modelsJob Type: Full-time"
8,"The Sidney Group LLC, based in Atlanta, GA, is interested in professionals in the areas of artificial intelligence, data science, software developers and all engineering specialties, Our clients are some of the most admired and advanced in technology offering extraordinary opportunities. All skill levels are encouraged to respond by forwarding a resume.You must be open to both direct hire and contract employee opportunities. We look forward to hearing from you today. Please visit our website www.thesidneygroupllc.comJob Type: Full-time"
9,"We are looking for a Data Scientist who is passionate about using large data sets to answer tough business questions! You’ll collaborate with the product, engineering, and research departments to develop and employ predictive machine learning techniques for internal and external business needs. You must also be comfortable working with stakeholders and collaborating with team members to improve our product features through advanced statistical techniques and mathematical principles.

Responsibilities:

Apply advanced statistical techniques and concepts to analyze data from the company database (PostgreSQL), with Salesforce, and other unstructured data sources to drive optimization and improvement of product features, marketing messaging, and internal business processes
Develop custom data models/algorithms
Develop tools to analyze data accuracy and model performance
Leverage machine learning, natural language processing, and/or advanced statistical techniques
Coordinate across teams (product management, engineering, etc) timely and effectively
Possess a drive to learn and master new technologies and techniques
Contribute to the rapid growth of the research organization, being flexible in data engineering, algorithmist, and analyst responsibilities as they arise

Requirements:

Masters or PhD in CS, Mathematics, Statistics, or another quantitative field
Experience with machine learning, including natural language processing, probabilistic reasoning, and neural networks. Background in contemporary machine learning techniques, such as deep/differential learning, preferred.
Strong knowledge/experience with a variety of analysis tools, including Python, R, and SQL
Background in information retrieval, data mining, and ETL techniques for processing data
Experience working cross-organization to service the data analysis needs of different parts of the business"
10,"Job Description

As a Data Scientist at Square, you will lead projects that derive value from our unique, rich, and rapidly growing data. We’re a passionate team of hackers, statisticians, and optimizers who are resourceful in distilling questions, wrangling data, and driving decisions.
As a Data Scientist in the Commerce Platform team you will apply your modeling and engineering skills to a variety of challenging, high-impact projects in areas such as authentication and authorization, catalog and inventory management, orders and billing, and analytics and reporting.
You will:
Drive cross-functional ML projects from beginning to end: build relationships with partner teams, frame and structure questions, develop data pipelines, train and optimize ML models, and deploy solutions in production.
Work with engineers to evangelize data best practices and implement ML solutions.
Collaborate with business leaders, subject matter experts, and decision makers to identify automation opportunities.
Develop success criteria and optimize new and existing products, features, policies, and models.
Communicate key results to senior management in verbal, visual, and written media.
Help build an amazing suite of ML-driven products at Square Qualifications

An advanced degree (M.S., PhD.), preferably in Statistics, Computer Science, Physical Sciences, Economics, or a related technical field
A consistent track record of performing data analysis using Python (numpy, pandas, scikit-learn, etc.) and SQL
Experience using statistics and machine learning to solve complex business problems
The versatility and willingness to learn new technologies on the job
The ability to clearly communicate complex results to technical and non-technical audiences
Even Better:
2+ years industry experience in data science, machine learning, or analytics
Familiarity with other data tools such as Hive, Vertica, Tableau, Ruby
Familiarity with Linux/OS X command line, version control software (git), and general software development
Technologies we use and teach:
Python (numpy, pandas, sklearn) & R
MySQL, Vertica, Hive, Redshift
Machine Learning (e.g. regression, ensemble methods, etc.)
Statistics (Bayesian methods, experimental design, causal inference)
Tableau, Looker
Additional Information

At Square, we value diversity and always treat all employees and job applicants based on merit, qualifications, competence, and talent. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status. We will consider for employment qualified applicants with criminal histories in a manner consistent with the requirements of the San Francisco Fair Chance Ordinance."
