"term","document","count"
"overview","144",5.73696559416621
"qualifications","37",4.51457317282976
"mandate","71",3.66096404744368
"description","107",1.70751874963942
"number","118",1.3684827970831
"job","107",1.03700029072189
"job","118",1.03700029072189
"role","71",0.617232626818512
"modelling","140",0.416666666666667
"scientist","121",0.383669621604863
"–2","140",0.305080337286973
"desirable","140",0.263413670620307
"exposure","140",0.263413670620307
"positions","140",0.263413670620307
"personally","44",0.22881025296523
"subscriptions","44",0.22881025296523
"usersabout","44",0.22881025296523
"lazard","76",0.200052680188179
"evidence","44",0.19756025296523
"mount","151",0.197556238647888
"sinai","151",0.185208973732395
"revenue","44",0.179280174817694
"supporting","44",0.16631025296523
"quovo","68",0.158027225069511
"oath","106",0.150656956684925
"inventory","70",0.143567217546811
"advertising","44",0.14108041165093
"city","138",0.140814699833423
"city","149",0.140814699833423
"summer","76",0.138184220653276
"stack","140",0.134769385568209
"capgemini","109",0.131689354224593
"experiences","44",0.129750096670158
"newsela","122",0.128454878857673
"candidates","140",0.125
"good","140",0.122067111337858
"learnvest","142",0.121525777508504
"delivery","44",0.120703014882815
"candidate","140",0.119270686510419
"scientists","44",0.118478958761579
"•","157",0.118477800888145
"fantasy","61",0.117464087083754
"media","77",0.11718265928898
"media","84",0.11718265928898
"dataiku","59",0.115305954250195
"core","140",0.114040233090259
"critically","134",0.113518265037013
"engaging","44",0.113171511773321
"times","42",0.111956087077788
"iwbi","85",0.111614757544015
"social","77",0.110986552820878
"social","84",0.110986552820878
"league","120",0.108537186916658
"alpha","117",0.107675413160108
"sigma","117",0.107675413160108
"possible","140",0.10477388220124
"fans","12",0.104064659998146
"logic","139",0.103673923926377
"sports","61",0.101421306335091
"ias","72",0.100575935369332
"insurance","90",0.0998921502478465
"order","44",0.0985000966701578
"meetup","75",0.0973013700317257
"dmo","157",0.094782240710516
"aplus","124",0.0938708730113764
"awindows","124",0.0938708730113764
"databasesr","124",0.0938708730113764
"degreeoutstanding","124",0.0938708730113764
"developmentcall","124",0.0938708730113764
"etlexperience","124",0.0938708730113764
"extractionand","124",0.0938708730113764
"philadelphia","124",0.0938708730113764
"pluscommunication","124",0.0938708730113764
"plusmust","124",0.0938708730113764
"positionexpertise","124",0.0938708730113764
"presentationsknowledge","124",0.0938708730113764
"professionallevel","124",0.0938708730113764
"shell","124",0.0938708730113764
"stakeholderstableau","124",0.0938708730113764
"teradata","124",0.0938708730113764
"health","85",0.0938430280442266
"inform","44",0.09375
"establish","117",0.0929695308071671
"crime","73",0.0926826341124983
"atlantic","26",0.0918110105941989
"dv01","60",0.091524101186092
"ratings","53",0.0901715282621596
"medidata","87",0.0901715282621596
"tumblr","23",0.0895648696622307
"brands","106",0.0889285616231968
"initiatives","117",0.0882352941176471
"blackstone","40",0.0875007348773337
"decisions","44",0.0874489418384484
"pricing","16",0.0869061766085164
"pricing","17",0.0869061766085164
"pricing","48",0.0869061766085164
"pricing","64",0.0869061766085164
"pricing","80",0.0869061766085164
"pricing","96",0.0869061766085164
"pricing","112",0.0869061766085164
"pricing","113",0.0869061766085164
"pricing","129",0.0869061766085164
"pricing","145",0.0869061766085164
"fintech","56",0.0861850703625484
