"term","document","count"
"oxides","71",1.20480311508265
"electromagnetic","71",1.03813644841598
"extroverted","95",1.03268838435655
"relatable","95",1.03268838435655
"sciencedriven","95",1.03268838435655
"properties","71",0.940642698295787
"researched","95",0.889831241499411
"youre","95",0.889831241499411
"senior","36",0.824643729444137
"materials","71",0.65114843260142
"social","95",0.631637681205468
"title","71",0.430827083453526
"expert","95",0.305907978463649
"scientist","36",0.296322895870419
"cell","129",0.249818931437001
"cell","141",0.249818931437001
"liquidity","55",0.243668045747052
"pharmacy","50",0.225900584077996
"•","4",0.219450617197246
"•","28",0.219450617197246
"•","43",0.219450617197246
"•","58",0.219450617197246
"•","73",0.219450617197246
"•","88",0.219450617197246
"•","96",0.219450617197246
"•","103",0.219450617197246
"•","107",0.219450617197246
"•","133",0.219450617197246
"•","148",0.219450617197246
"surface","78",0.211084372262487
"cdk","147",0.205884076628047
"chemistry","144",0.203926245936905
"vishnu","37",0.188577878882501
"rpr","143",0.170862987229903
"duolingo’s","54",0.168112062569672
"french","54",0.168112062569672
"second","54",0.168112062569672
"nlp","11",0.167216609140829
"53000","94",0.164291333874906
"98000full","94",0.164291333874906
"analysisknowledge","94",0.164291333874906
"benefitsclient","94",0.164291333874906
"jmp","94",0.164291333874906
"linear","94",0.164291333874906
"nonlinear","94",0.164291333874906
"pennsylvaniasalary","94",0.164291333874906
"philadelphia","94",0.164291333874906
"pythonlocation","94",0.164291333874906
"skillsproficiency","94",0.164291333874906
"statisticianphd","94",0.164291333874906
"visualizationproficiency","94",0.164291333874906
"recruiting","117",0.155503901576086
"recruiting","124",0.155503901576086
"epic","22",0.153804652989274
"speech","41",0.151734343516021
"sample","125",0.151174719368966
"scientist","71",0.148161447935209
"teaching","54",0.144856248616183
"classical","94",0.141564061147634
"field2","94",0.141564061147634
"multivariate","94",0.141564061147634
"series","94",0.141564061147634
"corporate","55",0.139973453719009
"insight","5",0.13849953839938
"dealership","147",0.137256051085365
"cadence","9",0.136392805481054
"reconstruction","37",0.135409101967302
"speech","80",0.131538221404514
"financial","38",0.130608944904693
"wealth","70",0.13024898541434
"experiencestrong","94",0.128269458858516
"hypothesis","94",0.128269458858516
"accounting","38",0.127989425147176
"fleet","144",0.125419026439438
"2018","102",0.124495683107045
"2018","110",0.124495683107045
"curran","84",0.121634831676179
"translation","11",0.121288904202951
"qeexo","49",0.118992900255076
"discovery","94",0.118836788420361
"users","22",0.117592121501018
"signal","112",0.117309066157618
"cybersecurity","25",0.116894720733167
"lucas","10",0.116125601453749
"argo","99",0.116125601453749
"wombat","117",0.115777299079849
"wombat","124",0.115777299079849
"duolingo","54",0.114113734781593
"food","115",0.113251248918107
"prescriptions","50",0.112950292038998
"heinz","115",0.112656914657079
"modeling","94",0.112451417651473
"exl","26",0.111950731932458
"bny","70",0.110515553955147
"check","50",0.108933722718664
"audio","20",0.108597355716028
"experienceknowledge","63",0.108369299284889
"orms","144",0.107093610229569
"shipyards","144",0.107093610229569
"steam","144",0.107093610229569
"model","23",0.105591637719149
"treasury","55",0.104980090289256
"construction","143",0.104507325435814
"credit","56",0.104159734870436
"language","41",0.104043835023326
"experienceknowledge","23",0.10277776295815
"nielsen","53",0.102174115766726
"watch","53",0.102174115766726
"market","93",0.100946661379869
"preferredexperience","94",0.100487812919052
"20performs","38",0.0990249135684367
"statements","38",0.0990249135684367
"fall","102",0.098870137944379
"trainee","102",0.098870137944379
"fall","110",0.098870137944379
"trainee","110",0.098870137944379
"supervisor","129",0.0978655904638266
"supervisor","141",0.0978655904638266
"incumbent","93",0.0955035377259521
"mellon","70",0.0953615938474267
"water","84",0.0952901674232387
"fidelity","37",0.0942889394412506
"kraft","115",0.0938807622142322
"reconstruction","64",0.0929674431417296
"plant","144",0.0922787954147538
"methods","94",0.0917893329484969
"automotive","147",0.0915040340569099
"deliverables","93",0.091011728627051
"modeling","6",0.090953352512221
"cost","38",0.0908519952418824
"statistical","94",0.0900405080478316
"summer","102",0.0895850188853131
"summer","110",0.0895850188853131
"deep","9",0.0889062976201569
"rue21","5",0.0886971618465752
"apple","79",0.0877994172934722
"linguistics","54",0.0875016463530965
"cybersecurity","145",0.0874834085743803
"voice","80",0.0865113707013317
"experienceknowledge","34",0.0858462770081413
"budget","38",0.0853262834314504
"budgeting","38",0.0853262834314504
"relevant","94",0.085057576630809
"platform","79",0.0846046674250456
"sei","25",0.0841096840294244
"firm","111",0.083764157152413
"frequencyrf","112",0.0835701582716287
"bny","39",0.0831676372137037
"quantitative","23",0.0826728024068532
"compound","128",0.0819581406644195
"compound","140",0.0819581406644195
"ecological","111",0.0817815099268086
"technician","50",0.0817002920389981
"google","13",0.0812281431571291
"certified","145",0.081222681915684
"model","63",0.0809718258157206
"research","93",0.0793128206559573
"asr","82",0.0789350516052409
"technicians","129",0.0787201699830244
"technicians","141",0.0787201699830244
"accredited","144",0.0783364796970289
"third","38",0.0773130984900647
"transactions","38",0.0773130984900647
"verification","50",0.0766701655563831
"reporting","22",0.076660935230718
"buy","53",0.0766305868250447
"bny","42",0.0761939533479584
"health","83",0.076128789996307
"claim","50",0.0753001946926654
"filling","50",0.0753001946926654
"experienceknowledge","67",0.075234801302099
"electrooptical","127",0.0746860754256101
"electrooptical","139",0.0746860754256101
"global","147",0.074181467005225
"university","144",0.0738206243308303
"we’re","66",0.0737149168982739
"student","102",0.0737120030122972
"students","102",0.0737120030122972
"student","110",0.0737120030122972
"students","110",0.0737120030122972
"wetland","111",0.0736910628073046
"classification","94",0.0733822429658155
"amazon","8",0.0733011965957366
"managers","70",0.0731332196225868
"image","48",0.0730183706110695
"zest","51",0.0726676762631939
"alexa","69",0.0726676762631939
"bny","40",0.0719837251189514
"events","38",0.0716276532944641
"monthly","38",0.0716276532944641
"party","38",0.0716276532944641
"sponsorship","94",0.0713944511192169
"quantitative","63",0.0713213554442542
"resilience","145",0.0710698466762235
"search","13",0.0709919017581726
"speech","82",0.0709596798785589
"environmental","146",0.0709288491051537
"learning","49",0.0707961385470878
"characterization","78",0.0704105716606742
"ensures","42",0.0701100147798102
"public","83",0.0695173845219821
"sourcing","117",0.0694663794479094
"sourcing","124",0.0694663794479094
"insights","93",0.0688472524540381
"places","146",0.0688275145094479
"discovery","128",0.0688002459275774
"screening","128",0.0688002459275774
"discovery","140",0.0688002459275774
"screening","140",0.0688002459275774
"college","144",0.0687978694781441
"utilization","147",0.0686280255426824
"predict","6",0.0682920027908048
"arearequirementsa","9",0.0681964027405272
"can’t","9",0.0681964027405272
"clusteringwe’re","9",0.0681964027405272
"eda","9",0.0681964027405272
"edacomputeraided","9",0.0681964027405272
"engineeringexperience","9",0.0681964027405272
"etcsome","9",0.0681964027405272
"extremely","9",0.0681964027405272
"forming","9",0.0681964027405272
"fundamental","9",0.0681964027405272
"innovators","9",0.0681964027405272
"msphd","9",0.0681964027405272
"semiconductor","9",0.0681964027405272
"softwareyou","9",0.0681964027405272
"technologycadence","9",0.0681964027405272
"virtuoso","9",0.0681964027405272
"vehicles","81",0.0681512582723405
"specifications","143",0.0679507493508642
"nlp","12",0.0673385804377933
"credit","51",0.0673238458003761
"amazon","69",0.0673238458003761
"entry","50",0.0672670560519975
"improvement","38",0.0672176793918975
"language","12",0.0668630050900652
"experiments","49",0.066813064840388
"operator","129",0.0666183817165335
"operator","141",0.0666183817165335
"water","126",0.0664881769689966
"water","138",0.0664881769689966
"assets","70",0.0663093323730881
"investment","70",0.0663093323730881
"hoc","22",0.0662640286222966
"team’s","93",0.0660166090456245
"model","55",0.0658464707125031
"contractor’s","143",0.0657165335499625
"wastewater","143",0.0657165335499625
"features","54",0.0655630804728043
"engagement","87",0.0654252079414469
"levels","6",0.0650215260064452
"food","50",0.0648835280259988
"ppg","14",0.0646584856037199
"chemicals","125",0.0645430240222846
"lee","125",0.0645430240222846
"powder","125",0.0645430240222846
"prep","125",0.0645430240222846
"respirator","125",0.0645430240222846
"urinalysis","125",0.0645430240222846
"curran","126",0.0636525134185119
"curran","138",0.0636525134185119
"computing","64",0.0635037597250102
"focusing","55",0.0634141144918508
"cyber","145",0.0634141144918508
"big","100",0.0632116483481359
"big","108",0.0632116483481359
"research","24",0.0629329989987487
"video","48",0.0629173605100594
"achieving","37",0.0628592929608337
"avatars","37",0.0628592929608337
"ego","37",0.0628592929608337
"graphics","37",0.0628592929608337
"headset","37",0.0628592929608337
"model","99",0.0627612947085706
"neural","6",0.0621885101543512
"spoken","41",0.0620921139231283
"duolingo","97",0.0618515621295191
"anywhere","12",0.0610146615110781
"statistical","5",0.060763533038414
"tracking","64",0.060580502821695
"better","54",0.0605719472187367
"operators","129",0.0603620982863607
"operators","141",0.0603620982863607
"assists","22",0.0600410232954758
"creates","22",0.0600410232954758
"testing","74",0.0598822376553093
"mellon","39",0.0598030334297422
"approximation","49",0.0594964501275381
"lightweight","49",0.0594964501275381
"loves","49",0.0594964501275381
"risk","55",0.0594670613318223
"prototypes","20",0.0594090125239445
"recognition","41",0.0592825050069516
"research","13",0.0591728512598298
"recognition","82",0.0591443173495927
"pythonexperience","9",0.0587624404763762
"theano","9",0.0587624404763762
"torch","9",0.0587624404763762
"towards","9",0.0587624404763762
"recognition","80",0.0587335929235539
"testing","15",0.0583344340548966
"testing","17",0.0583344340548966
"testing","32",0.0583344340548966
"testing","59",0.0583344340548966
"testing","89",0.0583344340548966
"testing","104",0.0583344340548966
"testing","119",0.0583344340548966
"testing","130",0.0583344340548966
"testing","134",0.0583344340548966
"testing","149",0.0583344340548966
"environmental","126",0.0583074248282967
"environmental","138",0.0583074248282967
"echo","8",0.0582132587896811
"selfdriving","81",0.0580979854499542
"testing","101",0.0580882972023443
"testing","109",0.0580882972023443
"chain","10",0.0580628007268745
"learning","9",0.0579631457781076
"dataintensive","83",0.0578263953870361
"audio","37",0.0576712665448471
"language","54",0.057533283449591
"better","6",0.0574542734648312
"standard","6",0.0574542734648312
"anywhere","48",0.0570086483815629
"signal","20",0.0569669289691729
"neural","11",0.0567626669865219
"devices","98",0.056727058908769
"side","54",0.056493894415112
"concurrently","115",0.0563284573285393
"water","143",0.056273175234669
"senior","94",0.0562257088257366
"acquisitionskills","54",0.0560373541898905
"analysisnative","54",0.0560373541898905
"analysisrequirementsphd","54",0.0560373541898905
"coursespropose","54",0.0560373541898905
"curricula","54",0.0560373541898905
"curriculaexcellent","54",0.0560373541898905
"duolingowe","54",0.0560373541898905
"english","54",0.0560373541898905
"experiencecreate","54",0.0560373541898905
"fieldgood","54",0.0560373541898905
"fieldresearch","54",0.0560373541898905
"frenchexperience","54",0.0560373541898905
"frenchhelp","54",0.0560373541898905
"frenchproficiency","54",0.0560373541898905
"havestrong","54",0.0560373541898905
"languageexperience","54",0.0560373541898905
"learndesign","54",0.0560373541898905
"lifedesign","54",0.0560373541898905
"nearnative","54",0.0560373541898905
"psychology","54",0.0560373541898905
"researchinformed","54",0.0560373541898905
"scienceresponsibilitieswork","54",0.0560373541898905
"sizeable","54",0.0560373541898905
"spanish","54",0.0560373541898905
"statisticshigh","54",0.0560373541898905
"technologyexceptional","54",0.0560373541898905
"spark","100",0.0556423511907353
"spark","108",0.0556423511907353
"analyzes","22",0.0556257307499562
"samples","125",0.0556144525937132
"assets","39",0.0554450914758025
"measurement","53",0.0554291733974828
"nlu","82",0.054847748501705
"mellon","42",0.0547884933595464
"research","97",0.054735843666979
"systems","79",0.054724719009938
"school","102",0.0543089487053695
"school","110",0.0543089487053695
"we’re","81",0.0542623693834516
"accomplish","37",0.0541636407869207
"body","37",0.0541636407869207
"capture","37",0.0541636407869207
"goal","37",0.0541636407869207
"managers","87",0.0541185825207142
"hedis","65",0.0540472425457636
"2018must","64",0.053946408138029
"2019preferred","64",0.053946408138029
"amenable","64",0.053946408138029
"approachesminimum","64",0.053946408138029
"capacityleverage","64",0.053946408138029
"cdecisionmaking","64",0.053946408138029
"collaborationable","64",0.053946408138029
"computing5","64",0.053946408138029
"cuda","64",0.053946408138029
"designcollaborate","64",0.053946408138029
"experienceinterpersonal","64",0.053946408138029
"formulation","64",0.053946408138029
"githubpublications","64",0.053946408138029
"gpu","64",0.053946408138029
"january","64",0.053946408138029
"journalsmachine","64",0.053946408138029
"motionresponsibilitiesdesign","64",0.053946408138029
"obtaining","64",0.053946408138029
"oculus","64",0.053946408138029
"pipelinesparticipate","64",0.053946408138029
"qualificationscurrently","64",0.053946408138029
"resourceefficient","64",0.053946408138029
"start","64",0.053946408138029
"twoyear","64",0.053946408138029
"widely","64",0.053946408138029
"mining","94",0.0538826748947343
"transformation","94",0.0538826748947343
"experiences","79",0.0537019890903434
"operational","6",0.0535861204378636
"abnormal","144",0.0535468051147843
"chemist","144",0.0535468051147843
"experiencepreferred","144",0.0535468051147843
"interface","144",0.0535468051147843
"methodsdemonstrated","144",0.0535468051147843
"naval","144",0.0535468051147843
"nnl","144",0.0535468051147843
"nuclear","144",0.0535468051147843
"responding","144",0.0535468051147843
"ships","144",0.0535468051147843
"shows","144",0.0535468051147843
"skillsrequirementsintermediatebs","144",0.0535468051147843
"universityadvancedbs","144",0.0535468051147843
"research","68",0.0534117703679417
"hive","100",0.0534064959085996
"hive","108",0.0534064959085996
"support","38",0.0532442868940721
"caffe","9",0.0532439263186295
"history","9",0.0532439263186295
"matters","9",0.0532439263186295
"prototypes","9",0.0532439263186295
"tensorflow","9",0.0532439263186295
"algorithms","49",0.053188528821423
"alteryxexplore","6",0.0531530786065874
"cbcinnovis","6",0.0531530786065874
"customersqualificationsa","6",0.0531530786065874
"customersresponsibilitiesperform","6",0.0531530786065874
"equip","6",0.0531530786065874
"expertisework","6",0.0531530786065874
"exploratory","6",0.0531530786065874
"improvedidentify","6",0.0531530786065874
"lasting","6",0.0531530786065874
"leverages","6",0.0531530786065874
"networksthe","6",0.0531530786065874
"operationscommunicate","6",0.0531530786065874
"ordering","6",0.0531530786065874
"overviewthe","6",0.0531530786065874
"processanalyze","6",0.0531530786065874
"simplify","6",0.0531530786065874
"spaces","6",0.0531530786065874
"stats","6",0.0531530786065874
"language","69",0.0530886521101376
"tracking","37",0.0529420915963509
"csd","39",0.052786599071999
"securities","39",0.052786599071999
"asr","41",0.0527463195306049
"interaction","24",0.0524630637842396
"model","11",0.0524414845048123
"quantitative","40",0.0523527037246332
"alexa","80",0.0522579276830993
"clinical","22",0.0522009637830693
"health","65",0.0520806301656978
"architect","100",0.0519920547229892
"architect","108",0.0519920547229892
"techniques","9",0.0519764509731261
"operations","129",0.0519630072629313
"operations","141",0.0519630072629313
"laboratory","57",0.0517642443338053
"mellon","40",0.0517610607191412
"offer","94",0.0516959631842956
"intern","20",0.0516514799537739
"junior","93",0.0516354393405285
"youll","111",0.051598402108608
"machine","49",0.0515036529627969
"maintenance","128",0.0514064552053752
"maintenance","140",0.0514064552053752
"natural","12",0.051261355575531
"physics","112",0.0511151880744309
"rhiza","53",0.0510870578833631
"segment","53",0.0510870578833631
