"term","document","count"
"qualifications","14",4.48112668973662
"qualifications","20",4.48112668973662
"castle","62",3.53304459522889
"fractal","27",3.03304459522889
"fractal","31",3.03304459522889
"you’ll","19",1.5742360941281
"serve","85",1.09622533794732
"self","85",0.948832219114082
"ads","85",0.896225337947323
"global","62",0.854268592919844
"decide","79",0.466622245419829
"lend","79",0.466622245419829
"decide","84",0.466622245419829
"lend","84",0.466622245419829
"analytics","27",0.428317912414411
"analytics","31",0.428317912414411
"fraud","79",0.344702053056663
"fraud","84",0.344702053056663
"credit","79",0.312776091573675
"credit","84",0.312776091573675
"adobe","12",0.221391828421653
"scientist","85",0.217761853391571
"inventory","87",0.211214622540857
"wish","13",0.20905589320881
"real","79",0.181973036332052
"real","84",0.181973036332052
"legal","114",0.169850497332818
"signalfx","131",0.168240218820423
"looker","103",0.167789592542958
"thumbtack","38",0.155726483536259
"cancer","32",0.155615584251197
"time","79",0.155515005469178
"time","84",0.155515005469178
"juvo","33",0.152780306820709
"construction","99",0.151652229761444
"spam","50",0.150856697882659
"unsafe","50",0.150856697882659
"spam","78",0.150856697882659
"unsafe","78",0.150856697882659
"prosper","65",0.149433910372219
"models","79",0.147317651335324
"models","84",0.147317651335324
"production","79",0.14585878377042
"production","84",0.14585878377042
"lumiata","124",0.142270252156868
"mixpanel","130",0.136410988232776
"patient","124",0.136002394374705
"buildings","99",0.132489172321083
"drones","99",0.132489172321083
"databricks","54",0.126180164115317
"whistle","86",0.124402978705242
"fundamental","55",0.122888507660135
"games","60",0.120049506882886
"stitch","87",0.119154928037753
"atom","107",0.118014015707019
"gems","75",0.116794862652195
"6sense","39",0.116473997644908
"invitae","74",0.116473997644908
"risk","47",0.115077995956352
"square","8",0.114815568273649
"mass","119",0.113739172321083
"spectrometry","119",0.113739172321083
"mass","127",0.113739172321083
"spectrometry","127",0.113739172321083
"patient","88",0.111751967436569
"diabetes","40",0.111716825145577
"trulia","23",0.111058376274385
"sap","113",0.109339871419076
"yelp’s","10",0.108154426384558
"etls","103",0.108154426384558
"contractjob","5",0.103913076330261
"d3js","5",0.103913076330261
"desirableexperience","5",0.103913076330261
"etcproficiency","5",0.103913076330261
"forests","5",0.103913076330261
"hbasegood","5",0.103913076330261
"knn","5",0.103913076330261
"locationsan","5",0.103913076330261
"methodsexcellent","5",0.103913076330261
"mongodb","5",0.103913076330261
"naive","5",0.103913076330261
"personalityregardssandeep","5",0.103913076330261
"pigexperience","5",0.103913076330261
"sassqlany","5",0.103913076330261
"sharmajob","5",0.103913076330261
"summaryjob","5",0.103913076330261
"visualisation","5",0.103913076330261
"weka","5",0.103913076330261
"bidding","92",0.103913076330261
"precise","92",0.103913076330261
"drug","107",0.103262263743642
"vision","23",0.10240376471077
"twitter","106",0.101652229761444
"aspects","131",0.101398434961909
"promoted","49",0.10110148650763
"promoted","77",0.10110148650763
"suspicious","50",0.100571131921773
"suspicious","78",0.100571131921773
"advertising","92",0.0996590487857297
"trade","116",0.0996568489043021
"trade","125",0.0996568489043021
"pet","86",0.099522382964194
"pets","86",0.099522382964194
"health","88",0.0983004326352578
"streaming","131",0.0962871300072662
"pricing","13",0.0962387974072845
"django","26",0.0954876917629429
"engines","26",0.0954876917629429
"industrytechnical","26",0.0954876917629429
"infinite","26",0.0954876917629429
"uptime","26",0.0954876917629429
"glassdoor","105",0.0950594958357548
"basic","99",0.0949891723210832
"uber’s","114",0.0948832219114082
"disease","124",0.0948468347712453
"apparel","118",0.092670022169938
"build","79",0.0910343185458409
"build","84",0.0910343185458409
"cloud","26",0.0909634992518022
"fix","87",0.0893661960283144
"bayes","5",0.0892071939773202
"ggplot","5",0.0892071939773202
"helpful","5",0.0892071939773202
"svm","5",0.0892071939773202
"toolkits","5",0.0892071939773202
"matching","88",0.0892071939773202
"programmatic","92",0.0892071939773202
"pici","32",0.0891620087124009
"trueaccord","9",0.0888816250372047
"drone","99",0.0883261148807222
"roofs","99",0.0883261148807222
"pinterest","50",0.0870488274416589
"pinterest","78",0.0870488274416589
"timeseries","117",0.0847509307144312
"timeseries","126",0.0847509307144312
"yelp","10",0.0838947962714788
"reverse","40",0.0837876188591831
"virta","40",0.0837876188591831
"api","26",0.0819741782494294
"javascript","26",0.0819741782494294
"manufacturing","26",0.0819741782494294
"pattern","26",0.0819741782494294
"pipeline","26",0.0819741782494294
"ads","7",0.0814750307224839
"relevance","7",0.0814750307224839
"applications","99",0.0814683567100042
"risk","51",0.080961952907345
"dataoriented","5",0.0806048042608326
"biomedical","88",0.0806048042608326
"behavioral","22",0.0804095100944137
"systems","48",0.0799959424269279
"systems","76",0.0799959424269279
"hotel","63",0.0796179063713552
"economist","105",0.0792162465297956
"revenue","4",0.0790513858949607
